Wordsrem,Strategy,Age,Cell,
9,count,old,countold,
8,count,old,countold,
6,count,old,countold,
8,count,old,countold,
10,count,old,countold,
4,count,old,countold,
6,count,old,countold,
5,count,old,countold,
7,count,old,countold,
11,adj,old,adjold,
13,adj,old,adjold,
8,adj,old,adjold,
6,adj,old,adjold,
14,adj,old,adjold,
11,adj,old,adjold,
13,adj,old,adjold,
13,adj,old,adjold,
10,adj,old,adjold,
12,image,old,imageold,
11,image,old,imageold,
16,image,old,imageold,
11,image,old,imageold,
9,image,old,imageold,
23,image,old,imageold,
12,image,old,imageold,
10,image,old,imageold,
19,image,old,imageold,
8,count,young,countyoung,
6,count,young,countyoung,
4,count,young,countyoung,
6,count,young,countyoung,
7,count,young,countyoung,
6,count,young,countyoung,
5,count,young,countyoung,
7,count,young,countyoung,
9,count,young,countyoung,
14,adj,young,adjyoung,
11,adj,young,adjyoung,
18,adj,young,adjyoung,
14,adj,young,adjyoung,
13,adj,young,adjyoung,
22,adj,young,adjyoung,
17,adj,young,adjyoung,
16,adj,young,adjyoung,
12,adj,young,adjyoung,
20,image,young,imageyoung,
16,image,young,imageyoung,
16,image,young,imageyoung,
15,image,young,imageyoung,
18,image,young,imageyoung,
16,image,young,imageyoung,
20,image,young,imageyoung,
22,image,young,imageyoung,
19,image,young,imageyoung,